"lockdown_duration","total_duration","model_tot_econ_loss","model_diim_tot_econ_loss"
10,300,37126.5300105743,35993.2746144458
20,300,37126.5300105743,35993.2746144458
30,300,37126.5300105743,35993.2746144458
40,300,37126.5300105743,35993.2746144458
10,400,49499.0010130043,47988.0455823471
20,400,49499.0010130043,47988.0455823471
30,400,49499.0010130043,47988.0455823471
40,400,49499.0010130043,47988.0455823471
10,500,61871.4625270293,59982.8073389238
20,500,61871.4625270293,59982.8073389238
30,500,61871.4625270293,59982.8073389238
40,500,61871.4625270293,59982.8073389238
10,600,74243.9193031537,71977.5644961668
20,600,74243.9193031537,71977.5644961668
30,600,74243.9193031537,71977.5644961668
40,600,74243.9193031537,71977.5644961668
