"multiplier","loss_base","loss_diim","loss_pca","reduction_diim","reduction_pca","pca_wins","diim_sectors","overlap"
0,1514.17689385658,1435.34336516552,1448.68615089254,78.8335286910649,65.4907429640418,FALSE,"3,2,4,5,10",4
0.1,4059.48955082584,3994.02839703279,3993.9988078618,65.4611537930505,65.4907429640448,TRUE,"2,3,5,12,8",4
0.2,6604.8022077951,6539.34105400206,6539.31146483106,65.4611537930459,65.4907429640389,TRUE,"2,3,5,12,8",4
0.3,9150.11486476437,9084.65371097132,9084.62412180033,65.4611537930432,65.4907429640425,TRUE,"2,3,5,12,8",4
0.4,11695.4275217336,11629.9663679406,11629.9367787696,65.461153793045,65.4907429640425,TRUE,"2,3,5,12,8",4
0.5,14240.7401787029,14175.2790249098,14175.2494357388,65.4611537930614,65.4907429640498,TRUE,"2,3,5,12,8",4
0.6,16786.0528356721,16720.5916818791,16720.5620927081,65.4611537930432,65.4907429640261,TRUE,"2,3,5,12,8",4
0.7,19331.3654926414,19265.9043388483,19265.8747496774,65.4611537930614,65.490742964048,TRUE,"2,3,5,12,8",4
0.8,21876.6781496107,21811.2169958176,21811.1874066466,65.4611537930759,65.4907429640625,TRUE,"2,3,5,12,8",4
0.9,24421.9908065799,24356.5296527869,24356.5000636159,65.4611537930396,65.4907429640443,TRUE,"2,3,5,12,8",4
1,26967.3034635492,26901.8423097561,26901.8127205851,65.4611537930723,65.4907429640625,TRUE,"2,3,5,12,8",4
1.1,29512.6161205185,29447.1549667254,29447.1253775544,65.4611537930905,65.4907429640443,TRUE,"2,3,5,12,8",4
1.2,32057.9287774877,31992.4676236947,31992.4380345237,65.4611537930541,65.4907429640443,TRUE,"2,3,12,5,8",4
1.3,34603.241434457,34537.7802806639,34537.7506914929,65.4611537930396,65.490742964037,TRUE,"2,3,12,5,8",4
1.4,37148.5540914262,37083.0929376332,37083.0633484622,65.461153793025,65.4907429640152,TRUE,"2,3,12,5,8",4
1.5,39693.8667483955,39628.4055946025,39628.3760054314,65.4611537929959,65.4907429640225,TRUE,"2,3,12,5,8",4
1.6,42239.1794053648,42173.7182515717,42173.6886624007,65.4611537930759,65.4907429640516,TRUE,"2,3,12,5,8",4
1.7,44784.492062334,44719.030908541,44719.00131937,65.4611537930396,65.4907429640662,TRUE,"2,3,12,5,8",4
1.8,47329.8047193033,47264.3435655102,47264.3139763392,65.4611537930468,65.4907429640443,TRUE,"2,3,12,5,8",4
1.9,49875.1173762725,49809.6562224795,49809.6266333085,65.4611537930396,65.4907429640734,TRUE,"2,3,12,5,8",4
2,52420.4300332418,52354.9688794488,52354.9392902778,65.4611537930541,65.4907429640443,TRUE,"2,3,12,5,8",4
